classification,reason_for_recall,product_description,recall_number
Class I,"Marketed Without an Approved NDA/ANDA: These dietary supplements contain undeclared sildenafil, an analogue of sildenafil, and/or tadalafil.","SEXY MONKEY, 2000 mg, 1 count blister, Distributed by A Herbal Bio, Inc., Bayside, NY.",D-1336-2014
Class I,Marketed Without an Approved NDA/ANDA: FDA analysis found product to contain sibutramine and phenolphthalein,"Forever Beautiful BEE POLLEN, capsules, 250mg in 60-count bottles, 900 Commonwealth Place, Ste 104, Virginia Beach, VA",D-0994-2015
Class I,Marketed without an approved NDA/ANDA: Products found to contain undeclared sildenafil and/or tadalafil.,"Weiner Boner Honey, 12g packet, 100% Organic Formula.",D-0449-2024
Class I,Superpotent Drug: The vitamin supplement contains an extremely high level of vitamin D3 (Cholecalciferol).,"Vitamin Supplement (Vial) D3, (cholecalciferol (vit D3)/lipoic acid/ubiquinol/ methylcobalamin/pyridoxine/methionine/inositol/choline bitartrate USP) capsules, 60, 120 or 180 count vials, Glades Drugs, 109 S. Lake Ave., Pahokee, FL 33476.",D-0669-2016
Class I,Microbial contamination,"Dr. King's SafeCare Rx Melancholic Homeopathic, 2 fl oz (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955201021, NDC 57955-2011-2",D-0973-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx Ear Relief Formula, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955015727, NDC 57955-0154-2",D-0846-2019
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Mood Changes, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955503729, NDC 57955-5037-2",D-0650-2019
Class I,Non-Sterility; mold contamination,"Magnesium Sulfate 2 grams in Dextrose 5% for Injection, in 50 mL Plastic Infusion Bags, Med Prep Consulting Inc., Tinton Falls, NJ 07712",D-810-2013
Class I,"Marketed Without An Approved NDA/ANDA: FDA analysis found the product to contain undeclared sildenafil, an ingredient found in FDA approved products for the treatment of male sexual enhancement, making this an unapproved drug.","Pink Pussycat SENSUAL ENHANCEMENT capsule, 3000mg, 1-count blister card, Manufactured for: Pink Pussycat Products - Chatsworth, CA  91311, UPC 8 91875 00462 6.",D-0785-2022
Class I,"Chemical Contamination: FDA analysis found 1 lot of MEDICALLY MINDED Hand Sanitizer Gel, ANTIMICROBIAL FORMULA (ethyl alcohol 70%) to be below the label claim for ethanol content and to contain methanol.","MEDICALLY MINDED Hand Sanitizer Gel, ANTIMICROBIAL FORMULA, (Ethyl Alcohol 70% v/v), 8 FL OZ (236 mL) bottle, Manufactured by Asiaticon, S.A. de C.V. Conkal 62, Jardines del Ajusco, Tlalpan, Ciudad de Mexico, C.P. 14200, Distributed by SBL Brands, LLC. Las Vegas, NV 89119. Made in Mexico UPC: 6 76753 00420 8,",D-0780-2021
Class I,Marketed without an Approved NDA/ANDA: products were found to contain undeclared sildenafil,"72HP MAXIMUM POTENCY MALE SEXUAL ENHANCEMENT, Dietary Supplement, supplied in 1 capsule per blister pack, Distributed by: 72HP, Inc. Weston, FL",D-377-2014
Class I,Microbial contamination,"Dr. King's Natural Medicine for kids! Newborn Tonic Homeopathic, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside dr. Asheville, NC 28806 USA, UPC 357955511427, NDC 57955-5114-2",D-0672-2019
Class I,Microbial contamination,"Safecare+ AllergyCare Homeopathic Non-Drowsy Taste-Free, Oral Spray, 1 fl oz (29.6 mL), UPC 357955404316, NDC 57955-4043-1",D-0907-2019
Class I,Non-Sterility,"BUPIVACAINE HCL-BACLOFEN PF INJECTABLE 40MG-4000MCG/ML, 21 mL syringe, Rx only, Med Shop Total Care 470 East Loop 281 Longview, TX 75605",D-0704-2021
Class I,"Labeling: Label Mix-Up: Bayer is recalling all Alka-Seltzer Plus packages, with a green or orange Bayer logo located on the lower left corner of the front of the carton, because the ingredients on the front sticker may not match the actual product in the carton.","All Alka-Seltzer Plus¿ packages with a full front panel instant Redeemable Coupon (IRC) affixed to the individual carton. The recalled products can be identified by checking the Bayer logo located on the lower left corner of the front of the carton. If the logo has an orange or green background, the product is included in the recall.",D-0697-2018
Class I,Product mix-up: Bottles of sildenafil and trazodone were inadvertently packaged together during bottling at a 3rd party facility.,"TraZODONE Hydrochloride Tablets USP 100 mg, Rx Only, 1000-count Bottle, Manufactured for: AvKARE Pulaski, TN 38478, NDC 42291-834-10",D-0168-2021
Class I,"Non-Sterility: Green Valley Drugs received positive sterility results from their testing lab on two lots of Methylprednisolone Preservative Free 40 mg/mL injectable suspension and  one lot of Cyanocobalamin 1000 mcg/mL injection, 30 mL MDV.","Cyanocobalamin 1000 mcg/ml, injection 30 mL, MDV, For Office Use Only, Green Valley Drugs,       Manufactured by Green Valley Drugs, Henderson, NV.",D-322-2013
Class I,Superpotent Drug,"Lidocaine Hydrochloride Topical Solution USP 4% (40 mg/mL), 50 mL glass bottles, Rx Only, Teligent Pharma Inc., Buena, NJ 08310,  NDC 52565-009-50",D-0280-2022
Class I,Superpotent Drug.,"NP Thyroid 60, Thyroid Tablets, USP, 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured For: Acella Pharmaceuticals, LLC, Alpharetta, GA  30005, NDC 42192-330-01.",D-1299-2020
Class I,Marketed without an Approved NDA/ANDA; product was found to contain undeclared sibutramine & phenolphthalein,"Bella Vi eXtreme ACCELERATOR Dietary Supplement Capsules, 30 count bottles, www.BellaViProducts.com, distributed by Pure Edge Nutrition, LLC, Toms River, NJ",D-1368-2014
Class I,Marketed without an Approved NDA/ANDA: The Beast contains undeclared sildenafil which was discovered through FDA analysis.,"The Beast, The Beast can be taken under the situation of Heart disease and even after drinking, 4600 mg X 4 Capsules per packet.",D-1321-2019
Class I,Presence of particulate matter: visible free floating and partially embedded particulate matter in the glass vials.,"0.25% Bupivacaine HCl Injection, USP, 2.5 mg/mL, 30 mL, Single-dose, Hospira Inc., Lake Forest, IL 60045, NDC 0409-1159-02",D-380-2014
Class I,"Microbial Contamination of Non Sterile Products; Products contaminated with microoganisms, including but not limited to Staphylococcus saprophyticus and Burkholderia cepacia","Respitrol, Homeopathic (OTC Medicine), 2 fl oz (59 mL) per bottle, Mftd for: HelloLife, Inc. 4635 40th St SE, Grand Rapids, MI 49512.  NDC: 49726-003-02",D-1203-2018
Class I,Non-Sterility: Out of specification results for the sterility test for microbial contamination.,"Virginia Hospital Center (VA) TPN Neonatal Day 1 Bag, Trophamine 5.5 gm, Dextrose 10%, Additives: Calcium Gluconate 0.46mEq/mL, 600 mg, compound vol: 250 ml, sterile injectable, Rx only, compounded drug, IV infusion bag packaged in a corrugated box, each container is lined with a polystyrene insert; CAPS, Allentown, PA.",D-470-2015
Class I,Microbial contamination,"Dr. King's SafeCare Rx Adrenal Burnout Mind & Body, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955097921, NDC 57955-0981-2",D-0753-2019
Class I,Marketed Without An Approved NDA/ANDA: FDA analysis of this product found it to contain undeclared steroids and steroid-like substances making this an unapproved new drug.,"B-50 capsules, 100-count bottles, labeled in part as Healthy Life Chemistry, By Purity First, Manufactured for: Purity First Health Products, Inc. Healthy Life Chemistry 51 Florida Street, Farmingdale, NY 11735; 1-800-696-7017",D-373-2014
Class I,Presence of Particulate Matter: Confirmed customer compliants of finding an insect floating in the primary container of each product.,"0.9% Sodium Chloride Injection, USP, 250 mL VIAFLEX Plastic Container Bag, Rx Only, Manufactured by Baxter Healthcare Corporation, Deerfield, IL 60015, NDC 0338-0049-02",D-0957-2016
Class I,Microbial contamination,"NET Remedies #9 ER 911 Homeopathic Preparation, Oral Liquid, 57 mL, NDC 57955-4209-2",D-0958-2019
Class I,Superpotent (Multiple Ingredient) Drug: There is the potential for oversized and superpotent tablets.,"Hydrocodone Bitartrate and Acetaminophen Tablets USP, 10 mg/500 mg, 500-count Tablets per bottle, Rx only, Manufactured By: Watson Laboratories, Inc., Corona, CA  92880 USA, NDC 00591-0540-05.",D-058-2013
Class I,Microbial contamination,"Dr. King's SafeCare Rx Neglectful, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955255024, NDC 57955-2551-2",D-0892-2019
Class I,Microbial contamination of Non-Sterile Products,"ION*Sinus Spray, 1 fl oz/ 30 mL, Manufactured by: ION* Biome Charlottesville, VA",D-0067-2024
Class I,Presence of Particulate Matter: Silicone,"ELCYS (cysteine hydrochloride injection), USP, 500 mg/10mL (50 mg/mL), 10x10 mL Single Dose Sterile Vials, For Intravenous Infusion Only, Rx Only, Manufactured and Distributed by Exela Pharma Sciences, LLC, Lenoir, NC 28645, (Vial: NDC 51754-1007-1; Carton: 51754-1007-3).",D-0118-2024
Class I,Labeling mixup: cartons labeled as Daptomycin 350 mg/vial were found to contain vials of Daptomycin 500 mg per vial,"Daptomycin for Injection 350 mg/vial 1 Single-dose vial, Rx only, Manufactured for: Accord Healthcare, Inc., Durham, NC 27703 Manufactured by: Intas Pharmaceuticals Limited, Pharmez, Ahmedabad-382 213, India. NDC 16729-0434-05",D-0131-2023
Class I,Presence of Particulate Matter - found in reserve sample vials at the firm.,"Ketorolac Tromethamine Injection, USP, 30 mg per mL, packaged in 1 mL Single Dose Vials (NDC 63323-162-00); 25 x 1 mL Single Dose Vials per tray (NDC 63323-162-01); For IM or IV use, Rx only, Fresenius Kabi, Lake Zurich, IL  60047.",D-1296-2020
Class I,Labeling Not Elsewhere Classified: Fresenius Kabi is taking this action due to an incorrect statement on the product insert for product codes 918610 and 918620 indicating that the stoppers do not contain natural rubber latex.  The tray label for these two product codes and the vial label for product code 918620 also incorrectly state that the stoppers do not contain latex.  The above listed product codes and batches being recalled have stoppers containing natural rubber latex.,"SODIUM CHLORIDE INJECTION, USP, 0.9%, 20 mL Single Dose Vial, packaged in a 25-unit tray, Rx Only, APP Pharmaceuticals, LLC Schaumburg, IL 60173. NDC 63323-186-20,  Product code 918620",D-0299-2019
Class I,"Labeling: Label Mix-up; The bottle of over-the-counter Acetaminophen 500mg Extra Strength, 100 count, included in Health Essential Kits, labeled incorrectly with a prescription drug label instead of an OTC drug label.","Acetaminophen, Extra Strength, Aspirin Free, 500 MG Tablets, 100-count bottles, Mfr: Major Pharmaceuticals, Livonia, MI 48152; Packaged Exclusively By: A-S Medication Solutions LLC, Libertyville, IL 60048, Product # 6967-0;  NDC: 50090-5350-0; contained within Health Essentials Kit, Kit Contains: 1 bottle hand sanitzer, 1 reusable face mask, 1 bottle Acetaminophen 500 mg, 1 bag cough drops, 1 digital thermometer, 50 disposable gloves.",D-0358-2021
Class I,"Marketed Without an Approved NDA/ANDA: product may contain undeclared sildenafil, tadalafil and analogues of these FDA approved active ingredients, making them unapproved drugs","BLUE Diamond Pill, supplied in 1, 5 and 10 count blister packs, Male Sexual Enhancement, Distributed By: DH Distribution Los Angeles, CA 90026.    1 count blister:  UPC 705105524764,  5 count blister: UPC 736211124012,  10 count blister:  UPC 736211123916.",D-334-2013
Class I,Microbial contamination,"Dr. King's SafeCare Rx Allergies Pacific U.S. Homeopathic, 2 fl oz (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955260820, NDC 57955-2717-2",D-0971-2019
Class I,Non-Sterility,"Up&Up brand dry eye relief (Carboxymethylcellulose 0.5%) packaged in 0.5 FL OZ (15 mL) each bottles (Twin Pack), Distributed by: Target Corporation Minneapolis, MN 55403, NDC 76168-800-30",D-0311-2024
Class I,Failed Stability Specification and Failed Impurities/Degradation Specifications:  out of specification for inactive content ascorbic acid and MTHFRC-7impurity test,"Tydemy (drospirenone, ethinyl estradiol and levomefolate calcium tablets, 3 mg/0.03 mg/0.451 mg and levomefolate calcium tablets 0.451 mg), packaged in 1 blister of 28 tablets each (NDC 68180-904-71) further packaged in a carton of 3 blisters (NDC 68180-904-73), Distributed by: Lupin Pharmaceuticals, Inc., Baltimore, Maryland 21202, Manufactured by Lupin Limited, Pithampur (M.P.), INDIA",D-1081-2023
Class I,"Chemical Contamination: FDA analysis found the product to contain methanol, acetaldehyde, and acetal above the limits.","Snowy Range Blue Alcohol Antiseptic 80% Topical Solution Hand Sanitizer Non-Sterile Solution, 4fl. oz. [118mL], Distributed by Reliable Products, LLC, Cheyenne, WY 82003, NDC 75288-100-04.",D-0455-2023
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Mental Calm, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955593027, NDC 57955-5930-2",D-0605-2019
Class I,Non-Sterility: Out of specification results for the sterility test for microbial contamination.,"Abington Memorial Hospital (PA) TPN Neonatal Starter 0.4-0.599 Kg, Amino Acids, Neonate 3g, Dextrose 5%, 150 ml, Additives: heparin PF 75 units, Calcium Gluconate 300mg, compound vol: 150 ml,  sterile injectable, Rx only, compounded drug, IV infusion bag packaged in a corrugated box, each container is lined with a polystyrene insert; CAPS, Allentown, PA.",D-462-2015
Class I,Subpotent Drug,"fentaNYL CITRATE 4 MCG/mL in 0.9% SODIUM CHLORIDE Injection, in 1 mL Syringe, Rx Only, Cantrell Drug Co., Little Rock, AR ---  UPC: 9999993491",D-1157-2016
Class I,Presence of Particulate Matter: Customer complaint for an insect found free floating inside a single bag for each lot recalled.,"0.9% Sodium Chloride Injection USP, 50 mL Single Dose VIAFLEX Container bags, Rx only, Baxter Healthcare Corporation, Deerfield, IL  60015, Product Code 2B1301, NDC 0338-0049-11.",D-1336-2015
Class I,Non-Sterility: FDA found insanitary conditions and positive bacterial test results from environmental sampling at the manufacturing facility.,"LEADER brand Dry Eye Relief (Polyethylene Glycol 400, 0.4% Propylene Glycol, 0.3%); 0.33 FL OZ (10 mL) dropper bottle, Sterile, Distributed By Cardinal Health, Dublin, Ohio 43017, Made in India NDC: 70000-0088-1",D-0135-2024
Class I,"Marketed Without An Approved NDA/ANDA: FDA analyses detected the presence of phenolphthalein, N-di-Desmethylsibutramine, and trace amounts of sibutramine and N-Desmethylsibutramine. Sibutramine and phenolphthalein were previously available drug products but were removed from the U.S. market making these products unapproved new drugs.","Bethel Advance (bitter orange, mulberry leaf, cassia seed extract, jobstear seed, spirulina, starch, kola nut) capsules, 400 mg, 30-count bottles, Distributed by: Bethel, Inc., Tel: (212) 568-5330, UPC 1 60126 41750 9.",D-372-2014
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Sciatic Nerve Formula, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955503026, NDC 57955-6030-2",D-0600-2019
Class I,"Marketed without an approved NDA/ANDA: presence of undeclared sibutramine, desmethylsibutramine (an active metabolite of sibutramine) and phenolphthalein.","Skinny Bee Diet capsules, 500 mg, packaged in a 60-count bottle",D-0223-2017
Class I,Presence of Particulate Matter; product complaint of hair discovered in a vial within the lot,"Polymyxin B for Injection USP, 500,000 Units per Vial, 10 mL vials, packaged in 10 vials per carton, Sterile, Rx Only, Distributed by: AuroMedics Pharma LLC, E. Windsor, NJ 08520, NDC 55150-234-10",D-0556-2022
Class I,Microbial contamination,"Dr. King's Aquaflora Kids Candida Relief  Homeopathic, 4 fl. oz. (118 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806 USA, UPC 357955332244",D-0660-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx Menopause Relief, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955000624, NDC 57955-0006-2",D-0858-2019
Class I,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","LANG YI HAO CHAONONGSUOPIAN tablets, 500 mg, 8-count bottle, labeling is in foreign language",D-0558-2018
Class I,"Marketed without an Approved NDA/ANDA; FDA analysis found the presence of undeclared tadalafil, sildenafil and/or their analogues and Flibanserin","ZDaily Daily Testosterone and Llibido Booster Herbal Dietary Supplement Capsules, 500 mg, supplied in 2, 4 and 10  count packages, Distributed by Organic Herbal Supply, Roseville, CA --- UPC Code 680474229062",D-0967-2017
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Varicose Veins, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955506621, NDC 57955-5566-2",D-0589-2019
Class I,"Microbial Contamination of Non-Sterile Product.Product is being recalled because at labeled storage conditions of 30*C/75% Relative Humidity, growth of Aspergillus penicillioides, a type of fungus, resulted in a breach of the package integrity.","ChloraPrep One-Step 2% w/v chlorhexidine gluconate (CHG) and 70% v/v isopropyl alcohol (IPA) Non-Sterile Solution -Clear, 0.10 fl. oz. (3ml) each, 25 applicators per carton, applicator is sterile if package is intact. CareFusion El Paso, TX 79912, NDC 054365-400-01 Cat. No. 260400",D-0345-2021
Class I,Failed Dissolution Specifications,"Anagrelide Capsules, USP 1 mg, 100 capsules, Rx only, Manufactured in India for: Torrent Pharma Inc., Basking Ridge, NJ 07920 NDC 13668-462-01",D-0166-2021
Class I,Marketed without an approved NDA/ANDA: FDA analysis found products to be tainted with undeclared acetaminophen and sildenafil.,"Gold Hard Steel Plus Liquid, 2 FL OZ bottles, UPC 787188873199",D-0004-2025
Class I,"Marketed Without An Approved NDA/ANDA: This dietary supplement has been found to contain sildenafil, an FDA approved drug for the treatment of male erectile dysfunction making this an unapproved new drug.","Super Power capsules, Proprietary Blend 570 mg, packaged in 2-count capsules per blister pack, Distributed by: Freedom Trading, NJ 08863, UPC 7 18122 90678 9.",D-323-2013
Class I,Microbial contamination,"Dr. King's SafeCare Rx Chagrined, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955204022, NDC 57955-2041-2",D-0758-2019
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Regional Allergies Pacific U.S. 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955519324, NDC 57955-8198-2",D-0528-2019
Class I,Microbial contamination,"Dr. King's SafeCare Rx CS-General Support, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Drive, Asheville, NC 28806 USA, UPC 357955021322, NDC 57955-0213-2",D-0838-2019
Class I,Microbal Contamination of Non-Sterile Product; FDA analysis found  salmonella contamination,"Gaia Kratom (mitragyna speciosa) powder, Red Dragon, 1oz, 250g, 1kg packages, Gaia Ethnobotanical.com",D-1007-2018
Class I,Superpotent Drug,"STIMATE (desmopressin acetate) Nasal Spray1.5 mg/mL, 2.5 mL glass vial with spray cap, Rx only, Manufactured for: CSL Behring LLC, King of Prussia, PA 19406-0901; By: Ferring GmbH, Kiel, Germany, NDC 0053-6871-00",D-1506-2020
Class I,Microbial contamination,"Dr. King's Natural Medicine Homeopathic Anti-Aging & Wrinkles for Men, 2 fl. oz. (59 mL), King Bio, Inc., 3 Westside Dr. Asheville, NC 28806, UPC 357955814726,  NDC 57955-8147-2",D-0627-2019
Class I,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall.","HU HU SHENG WEI capsules, 3000 mg, 2-count bottle, labeling is in foreign language",D-0566-2018
Class I,Microbial contamination,"NET Remedies #24 Day & Night Vitals Homeopathic Preparation, Oral Liquid, 57 mL, NDC 57955-4214-2",D-0942-2019
